BASE	TYPE	NAME	1	2	3	4	5	6	7	8	9	10	11	12	13		order
BOOTS (STR)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							54
BOOTS (STR)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							55
BOOTS (STR)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							56
BOOTS (STR)	SUFFIX	#% of Armour also applies to Elemental Damage	1000	1000	1000	1000	1000										57
BOOTS (DEX/INT)	PREFIX	#% increased Evasion and Energy Shield	1000	1000	1000	1000	1000	1000	1000								58
BOOTS (DEX/INT)	PREFIX	#% increased Evasion and Energy Shield, # to Stun Threshold	1000	1000	1000	1000	1000	1000									59
BOOTS (DEX/INT)	PREFIX	#% increased Movement Speed	1000	1000	1000	1000	1000	1000									60
BOOTS (DEX/INT)	PREFIX	# to Evasion Rating, # to maximum Energy Shield	1000	1000	1000	1000											61
BOOTS (DEX/INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000						62
BOOTS (DEX/INT)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000						63
BOOTS (DEX/INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							64
BOOTS (DEX/INT)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												65
BOOTS (DEX/INT)	SUFFIX	#% reduced Attribute Requirements	750	750	750	750	750										66
BOOTS (DEX/INT)	SUFFIX	#% reduced Chill Duration on you	500	500	500	500	500										67
BOOTS (DEX/INT)	SUFFIX	#% reduced Freeze Duration on you	500	500	500	500	500										68
BOOTS (DEX/INT)	SUFFIX	#% reduced Shock duration on you	500	500	500	500	500										69
BOOTS (DEX/INT)	SUFFIX	# to Dexterity	500	500	500	500	500	500	500	500							70
BOOTS (DEX/INT)	SUFFIX	# to Intelligence	500	500	500	500	500	500	500	500							71
BOOTS (DEX/INT)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800	800				72
BOOTS (DEX/INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									73
BOOTS (DEX/INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							74
BOOTS (DEX/INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							75
BOOTS (DEX/INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							76
BOOTS (DEX/INT)	SUFFIX	#% increased Energy Shield Recharge Rate	500	500	500	500											77
BOOTS (DEX/INT)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	500	500	500	500	500										78
BOOTS (STR/INT)	PREFIX	#% increased Armour and Energy Shield	1000	1000	1000	1000	1000	1000	1000								79
BOOTS (STR/INT)	PREFIX	#% increased Armour and Energy Shield, # to Stun Threshold	1000	1000	1000	1000	1000	1000									80
BOOTS (STR/INT)	PREFIX	#% increased Movement Speed	1000	1000	1000	1000	1000	1000									81
BOOTS (STR/INT)	PREFIX	# to Armour, # to maximum Energy Shield	1000	1000	1000	1000											82
BOOTS (STR/INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000						83
BOOTS (STR/INT)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000						84
BOOTS (STR/INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							85
BOOTS (STR/INT)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												86
BOOTS (STR/INT)	SUFFIX	#% reduced Attribute Requirements	750	750	750	750	750										87
BOOTS (STR/INT)	SUFFIX	#% reduced Chill Duration on you	500	500	500	500	500										88
BOOTS (STR/INT)	SUFFIX	#% reduced Freeze Duration on you	500	500	500	500	500										89
BOOTS (STR/INT)	SUFFIX	#% reduced Shock duration on you	500	500	500	500	500										90
BOOTS (STR/INT)	SUFFIX	# to Intelligence	500	500	500	500	500	500	500	500							91
BOOTS (STR/INT)	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							92
BOOTS (STR/INT)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800	800				93
BOOTS (STR/INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									94
BOOTS (STR/INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							95
BOOTS (STR/INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							96
BOOTS (STR/INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							97
BOOTS (STR/INT)	SUFFIX	#% increased Energy Shield Recharge Rate	500	500	500	500											98
BOOTS (STR/INT)	SUFFIX	#% of Armour also applies to Elemental Damage	500	500	500	500	500										99
BOOTS (STR/DEX)	PREFIX	#% increased Armour and Evasion	1000	1000	1000	1000	1000	1000	1000								100
BOOTS (STR/DEX)	PREFIX	#% increased Armour and Evasion, # to Stun Threshold	1000	1000	1000	1000	1000	1000									101
BOOTS (STR/DEX)	PREFIX	#% increased Movement Speed	1000	1000	1000	1000	1000	1000									102
BOOTS (STR/DEX)	PREFIX	# to Armour, # to Evasion Rating	1000	1000	1000	1000											103
BOOTS (STR/DEX)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000						104
BOOTS (STR/DEX)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000						105
BOOTS (STR/DEX)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							106
BOOTS (STR/DEX)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												107
BOOTS (STR/DEX)	SUFFIX	#% reduced Attribute Requirements	750	750	750	750	750										108
BOOTS (STR/DEX)	SUFFIX	#% reduced Chill Duration on you	500	500	500	500	500										109
BOOTS (STR/DEX)	SUFFIX	#% reduced Freeze Duration on you	500	500	500	500	500										110
BOOTS (STR/DEX)	SUFFIX	#% reduced Shock duration on you	500	500	500	500	500										111
BOOTS (STR/DEX)	SUFFIX	# to Dexterity	500	500	500	500	500	500	500	500							112
BOOTS (STR/DEX)	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							113
BOOTS (STR/DEX)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800	800				114
BOOTS (STR/DEX)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									115
BOOTS (STR/DEX)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							116
BOOTS (STR/DEX)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							117
BOOTS (STR/DEX)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							118
BOOTS (STR/DEX)	SUFFIX	#% of Armour also applies to Elemental Damage	500	500	500	500	500										119
BOOTS (STR/DEX)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	500	500	500	500	500										120
HELMET (INT)	PREFIX	#% increased Energy Shield	1000	1000	1000	1000	1000	1000	1000								121
HELMET (INT)	PREFIX	#% increased Energy Shield, # to maximum Life	1000	1000	1000	1000	1000	1000									122
HELMET (INT)	PREFIX	#% increased Energy Shield, # to maximum Mana	1000	1000	1000	1000	1000	1000									123
HELMET (INT)	PREFIX	#% increased Rarity of Items found	1000	1000	1000												124
HELMET (INT)	PREFIX	# to Accuracy Rating	200	400	800	800	800	800	800	800	800						125
HELMET (INT)	PREFIX	# to maximum Energy Shield	1000	1000	1000	1000	1000	1000	1000	1000							126
HELMET (INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					127
HELMET (INT)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					128
HELMET (INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							129
HELMET (INT)	SUFFIX	#% increased Critical Hit Chance	250	500	1000	1000	1000										130
HELMET (INT)	SUFFIX	# to Accuracy Rating, #% increased Light Radius	1000	1000	1000												131
HELMET (INT)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												132
HELMET (INT)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										133
HELMET (INT)	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000	1000						134
HELMET (INT)	SUFFIX	# to Level of all Minion Skills	250	500													135
HELMET (INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									136
HELMET (INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							137
HELMET (INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							138
HELMET (INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							139
HELMET (INT)	SUFFIX	#% increased Energy Shield Recharge Rate	1000	1000	1000	1000											140
HELMET (DEX)	PREFIX	#% increased Evasion Rating	1000	1000	1000	1000	1000	1000	1000								141
HELMET (DEX)	PREFIX	#% increased Evasion Rating, # to maximum Life	1000	1000	1000	1000	1000	1000									142
HELMET (DEX)	PREFIX	#% increased Evasion Rating, # to maximum Mana	1000	1000	1000	1000	1000	1000									143
HELMET (DEX)	PREFIX	#% increased Rarity of Items found	1000	1000	1000												144
HELMET (DEX)	PREFIX	# to Accuracy Rating	200	400	800	800	800	800	800	800	800						145
HELMET (DEX)	PREFIX	# to Evasion Rating	1000	1000	1000	1000	1000	1000	1000	1000							146
HELMET (DEX)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					147
HELMET (DEX)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					148
HELMET (DEX)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							149
HELMET (DEX)	SUFFIX	#% increased Critical Hit Chance	250	500	1000	1000	1000										150
HELMET (DEX)	SUFFIX	# to Accuracy Rating, #% increased Light Radius	1000	1000	1000												151
HELMET (DEX)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												152
HELMET (DEX)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										153
HELMET (DEX)	SUFFIX	# to Dexterity	1000	1000	1000	1000	1000	1000	1000	1000							154
HELMET (DEX)	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000	1000						155
HELMET (DEX)	SUFFIX	# to Level of all Minion Skills	250	500													156
HELMET (DEX)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									157
HELMET (DEX)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							158
HELMET (DEX)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							159
HELMET (DEX)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							160
HELMET (DEX)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	1000	1000	1000	1000	1000										161
HELMET (STR)	PREFIX	#% increased Armour	1000	1000	1000	1000	1000	1000	1000								162
HELMET (STR)	PREFIX	#% increased Armour, # to maximum Life	1000	1000	1000	1000	1000	1000									163
HELMET (STR)	PREFIX	#% increased Armour, # to maximum Mana	1000	1000	1000	1000	1000	1000									164
HELMET (STR)	PREFIX	#% increased Rarity of Items found	1000	1000	1000												165
HELMET (STR)	PREFIX	# to Accuracy Rating	200	400	800	800	800	800	800	800	800						166
HELMET (STR)	PREFIX	# to Armour	1000	1000	1000	1000	1000	1000	1000	1000							167
HELMET (STR)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					168
HELMET (STR)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					169
HELMET (STR)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							170
HELMET (STR)	SUFFIX	#% increased Critical Hit Chance	250	500	1000	1000	1000										171
HELMET (STR)	SUFFIX	# to Accuracy Rating, #% increased Light Radius	1000	1000	1000												172
HELMET (STR)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												173
HELMET (STR)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										174
HELMET (STR)	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000	1000						175
HELMET (STR)	SUFFIX	# to Level of all Minion Skills	250	500													176
HELMET (STR)	SUFFIX	# to Strength	1000	1000	1000	1000	1000	1000	1000	1000							177
HELMET (STR)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									178
HELMET (STR)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							179
HELMET (STR)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							180
HELMET (STR)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							181
HELMET (STR)	SUFFIX	#% of Armour also applies to Elemental Damage	1000	1000	1000	1000	1000										182
HELMET (DEX/INT)	PREFIX	#% increased Evasion and Energy Shield	1000	1000	1000	1000	1000	1000	1000								183
HELMET (DEX/INT)	PREFIX	#% increased Evasion and Energy Shield, # to maximum Life	1000	1000	1000	1000	1000	1000									184
HELMET (DEX/INT)	PREFIX	#% increased Evasion and Energy Shield, # to maximum Mana	1000	1000	1000	1000	1000	1000									185
HELMET (DEX/INT)	PREFIX	#% increased Rarity of Items found	1000	1000	1000												186
HELMET (DEX/INT)	PREFIX	# to Accuracy Rating	200	400	800	800	800	800	800	800	800						187
HELMET (DEX/INT)	PREFIX	# to Evasion Rating, # to maximum Energy Shield	1000	1000	1000	1000	1000										188
HELMET (DEX/INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					189
HELMET (DEX/INT)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					190
HELMET (DEX/INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							191
HELMET (DEX/INT)	SUFFIX	#% increased Critical Hit Chance	250	500	1000	1000	1000										192
HELMET (DEX/INT)	SUFFIX	# to Accuracy Rating, #% increased Light Radius	1000	1000	1000												193
HELMET (DEX/INT)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												194
HELMET (DEX/INT)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										195
HELMET (DEX/INT)	SUFFIX	# to Dexterity	500	500	500	500	500	500	500	500							196
HELMET (DEX/INT)	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000	1000						197
HELMET (DEX/INT)	SUFFIX	# to Level of all Minion Skills	250	500													198
HELMET (DEX/INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									199
HELMET (DEX/INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							200
HELMET (DEX/INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							201
HELMET (DEX/INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							202
HELMET (DEX/INT)	SUFFIX	#% increased Energy Shield Recharge Rate	500	500	500	500											203
HELMET (DEX/INT)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	500	500	500	500	500										204
HELMET (STR/INT)	PREFIX	#% increased Armour and Energy Shield	1000	1000	1000	1000	1000	1000	1000								205
HELMET (STR/INT)	PREFIX	#% increased Armour and Energy Shield, # to maximum Life	1000	1000	1000	1000	1000	1000									206
HELMET (STR/INT)	PREFIX	#% increased Armour and Energy Shield, # to maximum Mana	1000	1000	1000	1000	1000	1000									207
HELMET (STR/INT)	PREFIX	#% increased Rarity of Items found	1000	1000	1000												208
HELMET (STR/INT)	PREFIX	# to Accuracy Rating	200	400	800	800	800	800	800	800	800						209
HELMET (STR/INT)	PREFIX	# to Armour, # to maximum Energy Shield	1000	1000	1000	1000	1000										210
HELMET (STR/INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					211
HELMET (STR/INT)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					212
HELMET (STR/INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							213
HELMET (STR/INT)	SUFFIX	#% increased Critical Hit Chance	250	500	1000	1000	1000										214
HELMET (STR/INT)	SUFFIX	# to Accuracy Rating, #% increased Light Radius	1000	1000	1000												215
HELMET (STR/INT)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												216
HELMET (STR/INT)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										217
HELMET (STR/INT)	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000	1000						218
HELMET (STR/INT)	SUFFIX	# to Level of all Minion Skills	250	500													219
HELMET (STR/INT)	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							220
HELMET (STR/INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									221
HELMET (STR/INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							222
HELMET (STR/INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							223
HELMET (STR/INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							224
HELMET (STR/INT)	SUFFIX	#% increased Energy Shield Recharge Rate	500	500	500	500											225
HELMET (STR/INT)	SUFFIX	#% of Armour also applies to Elemental Damage	500	500	500	500	500										226
HELMET (STR/DEX)	PREFIX	#% increased Armour and Evasion	1000	1000	1000	1000	1000	1000	1000								227
HELMET (STR/DEX)	PREFIX	#% increased Armour and Evasion, # to maximum Life	1000	1000	1000	1000	1000	1000									228
HELMET (STR/DEX)	PREFIX	#% increased Armour and Evasion, # to maximum Mana	1000	1000	1000	1000	1000	1000									229
HELMET (STR/DEX)	PREFIX	#% increased Rarity of Items found	1000	1000	1000												230
HELMET (STR/DEX)	PREFIX	# to Accuracy Rating	200	400	800	800	800	800	800	800	800						231
HELMET (STR/DEX)	PREFIX	# to Armour, # to Evasion Rating	1000	1000	1000	1000	1000										232
HELMET (STR/DEX)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					233
HELMET (STR/DEX)	PREFIX	# to maximum Mana	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000					234
HELMET (STR/DEX)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000							235
HELMET (STR/DEX)	SUFFIX	#% increased Critical Hit Chance	250	500	1000	1000	1000										236
HELMET (STR/DEX)	SUFFIX	# to Accuracy Rating, #% increased Light Radius	1000	1000	1000												237
HELMET (STR/DEX)	SUFFIX	#% increased Rarity of Items found	1000	1000	1000												238
HELMET (STR/DEX)	SUFFIX	#% reduced Attribute Requirements	800	800	800	800	800										239
HELMET (STR/DEX)	SUFFIX	# to Dexterity	500	500	500	500	500	500	500	500							240
HELMET (STR/DEX)	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000	1000						241
HELMET (STR/DEX)	SUFFIX	# to Level of all Minion Skills	250	500													242
HELMET (STR/DEX)	SUFFIX	# to Strength	500	500	500	500	500	500	500	500							243
HELMET (STR/DEX)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									244
HELMET (STR/DEX)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							245
HELMET (STR/DEX)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							246
HELMET (STR/DEX)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							247
HELMET (STR/DEX)	SUFFIX	#% of Armour also applies to Elemental Damage	500	500	500	500	500										248
HELMET (STR/DEX)	SUFFIX	Gain Deflection Rating equal to #% of Evasion Rating	500	500	500	500	500										249
BODY ARMOUR (INT)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								250
BODY ARMOUR (INT)	PREFIX	#% increased Energy Shield	1000	1000	1000	1000	1000	1000	1000	1000							251
BODY ARMOUR (INT)	PREFIX	# to maximum Energy Shield, #% increased Energy Shield	1000	1000	1000	1000	1000	1000									252
BODY ARMOUR (INT)	PREFIX	#% increased Energy Shield, # to maximum Life	1000	1000	1000	1000	1000	1000									253
BODY ARMOUR (INT)	PREFIX	# to maximum Energy Shield	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				254
BODY ARMOUR (INT)	PREFIX	# to maximum Life	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000		255
BODY ARMOUR (INT)	PREFIX	# to Spirit	100	200	300	400	500	500	500	500							256
BODY ARMOUR (INT)	SUFFIX	# Life Regeneration per second	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000				257
BODY ARMOUR (INT)	SUFFIX	#% reduced Attribute Requirements	900	900	900	900	900										258
BODY ARMOUR (INT)	SUFFIX	#% reduced Duration of Bleeding on You	500	500	500	500	500										259
BODY ARMOUR (INT)	SUFFIX	#% reduced Ignite Duration on you	500	500	500	500	500										260
BODY ARMOUR (INT)	SUFFIX	#% reduced Poison Duration on you	500	500	500	500	500										261
BODY ARMOUR (INT)	SUFFIX	# to Intelligence	1000	1000	1000	1000	1000	1000	1000	1000							262
BODY ARMOUR (INT)	SUFFIX	# to Stun Threshold	800	800	800	800	800	800	800	800	800	800					263
BODY ARMOUR (INT)	SUFFIX	#% to Chaos Resistance	250	250	250	250	250	250									264
BODY ARMOUR (INT)	SUFFIX	#% to Cold Resistance	1000	1000	1000	1000	1000	1000	1000	1000							265
BODY ARMOUR (INT)	SUFFIX	#% to Fire Resistance	1000	1000	1000	1000	1000	1000	1000	1000							266
BODY ARMOUR (INT)	SUFFIX	#% to Lightning Resistance	1000	1000	1000	1000	1000	1000	1000	1000							267
BODY ARMOUR (INT)	SUFFIX	#% faster start of Energy Shield Recharge	1000	1000	1000	1000	1000	1000									268
BODY ARMOUR (DEX)	PREFIX	# to # Physical Thorns damage	1000	1000	1000	1000	1000	1000	1000								269
BODY ARMOUR (DEX)	PREFIX	#% increased Evasion Rating	1000	1000	1000	1000	1000	1000	1000	1000							270
BODY ARMOUR (DEX)	PREFIX	# to Evasion Rating, #% increased Evasion Rating	1000	1000	1000	1000	1000	1000									271
